2010-05-19T13:51:06+08:00 INFO (6): 2010-05-19 13:51:06;all mails sent
2010-05-19T14:28:35+08:00 INFO (6): 2010-05-19 14:28:35;all mails sent
2010-05-19T14:33:04+08:00 INFO (6): 2010-05-19 14:33:04;all mails sent
2010-05-19T14:42:17+08:00 INFO (6): 2010-05-19 14:42:17;all mails sent
2010-05-19T14:42:40+08:00 INFO (6): 2010-05-19 14:42:40;all mails sent
2010-05-19T14:45:36+08:00 INFO (6): 2010-05-19 14:45:36;all mails sent
2010-05-19T14:52:57+08:00 INFO (6): 2010-05-19 14:52:57;all mails sent
2010-05-19T15:52:44+08:00 INFO (6): 2010-05-19 15:52:44;all mails sent
2010-05-19T15:55:20+08:00 INFO (6): 2010-05-19 15:55:20;all mails sent
2010-05-19T15:55:38+08:00 INFO (6): 2010-05-19 15:55:38;all mails sent
